county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Brunswick,3,19.00,60163,100326,North Brunswick High,Leland,"114 Scorpion Drive, Leland, NC 28451",-78.023383,34.240696,Brunswick County Schools,62.90,B,57.50,3.00
Brunswick,3,19.00,60163,100336,Southport Elementary,Southport,"701 West 9th Street, Southport, NC 28461",-78.0319351,33.9251897,Brunswick County Schools,55.50,C,63.00,2.00
Brunswick,3,19.00,60163,100316,Leland Middle,Leland,"927 Old Fayetteville Road NE, Leland, NC 28451",-78.033794,34.23541,Brunswick County Schools,69.40,D,51.30,3.00
Brunswick,3,19.00,60163,100320,Lincoln Elementary,Leland,"1664 Lincoln Road, Leland, NC 28451",-78.0416709,34.261238,Brunswick County Schools,81.80,C,45.00,3.00
Brunswick,3,19.00,60163,100334,South Brunswick High,Southport,"280 Cougar Drive BSL, Southport, NC 28461",-78.0430647,34.0111568,Brunswick County Schools,51.60,B,58.70,3.00
Brunswick,3,19.00,60163,100335,South Brunswick Middle,Southport,"100 Cougar Drive BSL, Southport, NC 28461",-78.048488,34.00855,Brunswick County Schools,61.90,C,53.00,3.00
Brunswick,3,19.00,60163,100339,Town Creek Elementary,Winnabow,"6330 Lake Park Dr SE, Winnabow, NC 28479",-78.087019,34.139646,Brunswick County Schools,64.60,B,70.30,2.00
Brunswick,3,19.00,60163,10A000,Charter Day School,Leland,"7055 Bacon's Way, Leland, NC 28451",-78.1361514,34.2831272,Charter Schools,34.60,B,73.00,2.00
Brunswick,3,19.00,60163,100304,Bolivia Elementary,Bolivia,"4036 Business Hwy 17-E, Bolivia, NC 28422",-78.1446849,34.070355,Brunswick County Schools,71.90,B,67.00,2.00
Brunswick,3,19.00,60163,10B000,South Brunswick Charter,Bolivia,"2260 Achievement Ave SE, Bolivia, NC 28422",-78.1988448,33.9733824,Charter Schools,16.50,B,75.20,2.00
Brunswick,3,19.00,60163,100307,Brunswick County Early College,Bolivia,"50 College Road NE, Bolivia, NC 28422",-78.2290128,34.038474,Brunswick County Schools,46.80,A,>95,1.00
Brunswick,3,19.00,60163,100342,Virginia Williamson Elem,Bolivia,"1020 Zion Hill Road, Bolivia, NC 28422",-78.2368264,33.9941,Brunswick County Schools,75.50,C,57.80,3.00
Brunswick,3,19.00,60163,100338,Supply Elementary,Supply,"51 Benton Road SE, Supply, NC 28462",-78.258371,34.0251019,Brunswick County Schools,84.70,D,44.80,3.00
Brunswick,3,19.00,60163,100309,Cedar Grove Middle,Supply,"750 Grove Trail SW, Supply, NC 28462",-78.270573,33.9666753,Brunswick County Schools,75.50,C,50.90,3.00
Brunswick,3,19.00,60163,100332,Shallotte Middle,Shallotte,"225 Village Road, Shallotte, NC 28459",-78.3883709,33.9637249,Brunswick County Schools,66.10,C,59.80,3.00
Brunswick,3,19.00,60163,100348,West Brunswick High,Shallotte,"550 Whiteville Road NW, Shallotte, NC 28470",-78.4099352,33.9811785,Brunswick County Schools,57.30,C,54.10,3.00
Brunswick,3,19.00,60163,100340,Union Elementary,Shallotte,"180 Union School Road NW, Shallotte, NC 28470",-78.4598662,33.9586678,Brunswick County Schools,59.60,A,85.40,1.00
