District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Charlotte-Mecklenburg Schools,600311,Ashley Park PreK-8 School,PK-08,74.2,D,31.1,,,
Johnston County Schools,510330,Cooper Academy,PK-05,59.2,D,31.0,,,
Charter Schools,93A000,Haliwa-Saponi Tribal School,0K-12,65.0,D,31.0,,,
Guilford County Schools,410364,Fairview Elementary,PK-05,77.2,D,31.0,,,
Alamance-Burlington Schools,010350,Graham Middle,06-08,85.1,F,30.9,,,
Guilford County Schools,410331,Bluford Elementary,0K-05,74.3,D,30.8,,,
Buncombe County Schools,110372,Johnston Elementary,0K-04,56.3,F,30.7,,,
Guilford County Schools,410439,Kirkman Park Elementary,PK-05,74.5,D,30.7,,,
Moore County Schools,630348,Robbins Elementary,PK-05,83.6,D,30.7,,,
Scotland County Schools,830364,Sycamore Lane Elementary,0K-05,79.7,D,30.6,,,
Charlotte-Mecklenburg Schools,600553,Thomasboro Academy,0K-08,67.7,D,30.5,,,
Stanly County Schools,840302,Albemarle High,09-12,66.0,C,30.5,,,
Charlotte-Mecklenburg Schools,600308,Allenbrook Elementary,PK-05,73.4,F,30.4,,,
Durham Public Schools,320368,Southern School of Energy and Sustainabi,09-12,65.0,C,30.3,,,
Pasquotank County Schools,700319,Pasquotank County High,09-12,57.1,D,30.3,,,
Pasquotank County Schools,700320,P W Moore Elementary,0K-05,66.3,F,30.1,,,
Guilford County Schools,410586,Washington Elementary,PK-05,73.8,D,30.0,,,
Thomasville City Schools,292316,Liberty Drive Elementary,04-05,60.2,D,29.8,,,
Halifax County Schools,420316,Scotland Neck Elementary Leadership Acad,PK-05,76.6,F,29.8,,,
Gaston County Schools,360438,Lingerfeldt Elementary,PK-05,72.8,D,29.8,,,
Wayne County Public Schools,960312,Brogden Middle,05-08,84.4,F,29.7,,,
Martin County Schools,580344,South Creek Middle/High,06-12,52.5,D,29.6,,,
Forsyth County Schools,340486,Parkland High,09-12,46.3,D,29.5,,,
Halifax County Schools,420328,Everetts Elementary S.T.E.M. Academy,PK-05,71.2,F,29.5,,,
Forsyth County Schools,340376,Forest Park Elementary,PK-05,71.0,D,29.4,,,
Harnett County Schools,430380,Wayne Avenue Elem,04-05,71.2,F,29.4,,,
Guilford County Schools,410402,Otis L Hairston Sr Middle,06-08,78.3,D,29.4,,,
Robeson County Schools,780396,Rowland Middle,06-08,88.7,D,29.2,,,
Cumberland County Schools,260322,Douglas Byrd High,09-12,71.4,D,29.1,,,
Charter Schools,32Q000,Reaching All Minds Academy,0K-07,21.1,F,29.0,,,
Guilford County Schools,410319,T Wingate Andrews High,09-12,60.3,C,29.0,,,
Rowan-Salisbury Schools,800396,Salisbury High,09-12,63.8,D,29.0,,,
Rockingham County Schools,790354,John M Morehead High,09-12,52.1,C,29.0,,,
Guilford County Schools,410385,Gillespie Park Elementary,PK-05,77.2,D,29.0,,,
Duplin County Schools,310352,James Kenan High,09-12,74.0,C,28.9,,,
Nash-Rocky Mount Schools,640335,Rocky Mount Middle,06-08,63.9,F,28.8,,,
Edgecombe County Public School,330358,Tarboro High,09-12,48.9,D,28.7,,,
Rowan-Salisbury Schools,800359,Dole Elementary,PK-05,61.6,D,28.6,,,
Hertford County Schools,460318,Hertford County Middle,06-08,58.2,D,28.5,,,
Forsyth County Schools,340351,Cook Literacy Model School,PK-05,87.8,D,28.5,,,
Charlotte-Mecklenburg Schools,600405,Harding University High,09-12,51.7,D,28.4,,,
Iredell-Statesville Schools,490345,N B Mills Elementary,PK-05,87.9,F,28.2,,,
Alamance-Burlington Schools,010310,Broadview Middle,06-08,55.3,F,28.1,,,
Northampton County Schools,660325,Gaston Middle,05-08,69.3,F,28.1,,,
Charlotte-Mecklenburg Schools,600514,Ranson Middle,06-08,55.7,F,27.9,,,
Charter Schools,60P000,Charlotte Choice Charter,0K-08,79.1,F,27.9,,,
Edgecombe County Public School,330354,Stocks Elementary,PK-05,66.2,F,27.9,,,
Iredell-Statesville Schools,490354,Statesville High,09-12,62.5,D,27.8,,,
Charter Schools,54A000,Children's Village Academy,0K-08,91.3,F,27.8,,,
Guilford County Schools,410544,Ben L. Smith High School,09-12,58.6,D,27.7,,,
Johnston County Schools,510396,West Smithfield Elementary,PK-05,70.7,D,27.7,,,
Scotland County Schools,830312,Covington Street Elementary,0K-05,82.6,F,27.7,,,
Craven County Schools,250348,J T Barber Elementary,PK-05,87.6,D,27.7,,,
Wayne County Public Schools,960318,Carver Heights Elementary,03-05,91.4,D,27.7,,,
Robeson County Schools,780393,Red Springs Middle,05-08,77.8,D,27.5,,,
Forsyth County Schools,340460,North Forsyth High,09-12,44.7,D,27.3,,,
Charlotte-Mecklenburg Schools,600520,Sedgefield Middle,06-08,57.3,D,27.3,,,
Granville County Schools,390324,J. F. Webb High,09-12,71.1,C,27.3,,,
Charter Schools,09A000,Paul R Brown Leadership Academy,06-12,72.3,F,27.3,,,
Nash-Rocky Mount Schools,640376,Spring Hope Elementary,PK-05,47.4,F,27.3,,,
Lenoir County Public Schools,540315,Kinston High,09-12,86.0,D,27.1,,,
Gaston County Schools,360336,Bessemer City High,09-12,63.6,D,26.8,,,
Durham Public Schools,320310,Eastway Elementary,PK-05,69.5,D,26.8,,,
Wilson County Schools,980356,Margaret Hearne Elementary,0K-05,78.5,F,26.8,,,
Durham Public Schools,320344,Fayetteville Street Elementary,PK-05,70.3,D,26.6,,,
Lab Schools,65Z000,D.C. Virgo Preparatory Academy,0K-08,74.9,F,26.4,,,
Lenoir County Public Schools,540330,Rochelle Middle,06-08,91.6,F,26.4,,,
Charter Schools,34D000,Carter G Woodson School,0K-12,67.3,F,26.3,,,
Bertie County Schools,080312,Bertie High,09-12,56.7,D,26.2,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,09-12,76.2,C,26.1,,,
Charlotte-Mecklenburg Schools,600576,West Charlotte High,09-12,56.0,D,26.0,,,
Guilford County Schools,410349,Ceasar Cone Elementary,PK-05,82.0,F,26.0,,,
Charter Schools,67B000,Z.E.C.A. School of Arts and Technology,0K-08,77.0,F,25.9,,,
Charlotte-Mecklenburg Schools,600374,Druid Hills Academy,PK-08,79.5,F,25.8,,,
Durham Public Schools,320374,C C Spaulding Elementary,PK-05,74.6,F,25.8,,,
Robeson County Schools,780352,Orrum Middle,05-08,83.3,F,25.6,,,
Pasquotank County Schools,700318,Pasquotank Elementary,0K-05,53.0,F,25.5,,,
Cumberland County Schools,260444,Teresa C Berrien Elementary,0K-05,90.2,F,25.4,,,
Lab Schools,34Z000,Appalachian Academy at Middle Fork,0K-05,<5,D,25.4,,,
Weldon City Schools,422314,Weldon Elementary Global Academy,PK-04,71.3,F,25.2,,,
Rowan-Salisbury Schools,800360,Hurley Elementary,PK-05,53.5,F,25.1,,,
Charlotte-Mecklenburg Schools,600498,Performance Learning Center,09-12,39.7,D,25.0,,,
Cleveland County Schools,230342,Graham Elementary,PK-04,78.3,F,25.0,,,
Robeson County Schools,780326,Fairmont Middle,05-08,89.3,F,25.0,,,
Hertford County Schools,460320,Hertford County High,09-12,55.2,D,24.5,,,
Anson County Schools,040311,Wadesboro Primary,0K-03,79.3,F,24.4,,,
Rowan-Salisbury Schools,800373,North Rowan Elementary,PK-05,46.1,F,24.4,,,
Charlotte-Mecklenburg Schools,600583,Wilson STEM Academy,06-08,64.7,F,24.3,,,
Forsyth County Schools,340330,Carver High,09-12,69.2,D,24.3,,,
Washington County Schools,940316,Washington County High,09-12,63.1,C,24.1,,,
Northampton County Schools,660308,Conway Middle,05-08,64.5,F,23.9,,,
Vance County Schools,910370,Vance County High School,09-12,57.7,D,23.6,,,
Johnston County Schools,510390,Selma Middle School,05-08,68.9,F,23.6,,,
Robeson County Schools,780341,Lumberton Junior High,07-08,83.4,F,23.6,,,
Anson County Schools,040306,Anson High School,09-12,50.7,D,23.5,,,
Rowan-Salisbury Schools,800377,North Rowan Middle,06-08,53.2,F,23.3,,,
Forsyth County Schools,340400,Ibraham Elementary,PK-05,69.2,F,23.2,,,
Forsyth County Schools,340368,Easton Elementary School,PK-05,70.4,F,23.1,,,
Iredell-Statesville Schools,490352,Statesville Middle,06-08,82.2,F,23.0,,,
Robeson County Schools,780392,Rex-Rennert Elementary,PK-05,81.3,D,22.7,,,
Charlotte-Mecklenburg Schools,600515,Renaissance West STEAM Academy,PK-07,76.1,F,22.4,,,
Anson County Schools,040330,Wadesboro Elementary,04-05,71.9,F,22.0,,,
Guilford County Schools,410598,Wiley Accel/Enrichment,PK-05,85.9,F,22.0,,,
Nash-Rocky Mount Schools,640334,J W Parker Middle,06-08,77.4,F,22.0,,,
Wilson County Schools,980308,B O Barnes Elementary,0K-05,78.8,F,22.0,,,
Wake County Schools,920352,Bugg Elementary,PK-05,81.2,F,21.6,,,
Innovative School District,295300,Southside Ashpole Elementary,0K-05,78.0,F,21.5,,,
New Hanover County Schools,650312,R Freeman Sch of Engineering,PK-05,>95,F,21.5,,,
Pitt County Schools,740390,South Greenville Elementary,0K-05,90.8,F,21.3,,,
Nash-Rocky Mount Schools,640326,D S Johnson Elementary,03-05,84.8,F,21.1,,,
Rowan-Salisbury Schools,800376,North Rowan High,09-12,69.8,D,20.6,,,
Charlotte-Mecklenburg Schools,600489,Bruns Avenue Elementary,PK-05,75.3,F,20.2,,,
Edgecombe County Public School,330332,Phillips Middle,06-08,64.9,F,19.8,,,
Forsyth County Schools,340308,Ashley Academy,PK-05,81.5,F,19.4,,,
Robeson County Schools,780402,South Robeson High,09-12,83.2,D,19.4,,,
Nash-Rocky Mount Schools,640306,Baskerville Elementary,0K-05,85.9,F,19.0,,,
Robeson County Schools,780410,Townsend Middle,05-08,82.9,F,19.0,,,
Charter Schools,74B000,Ignite Innovation Academy - Pitt,0K-08,47.8,F,18.6,,,
Rowan-Salisbury Schools,800363,Knox Middle,06-08,53.6,F,18.2,,,
Warren County Schools,930352,Warren County High,09-12,46.6,D,18.1,,,
Wayne County Public Schools,960326,Dillard Middle,06-08,94.8,F,18.1,,,
Charter Schools,60V000,Charlotte Learning Academy,06-12,52.5,F,17.3,,,
Forsyth County Schools,340490,Petree Elementary,PK-05,80.0,F,17.2,,,
Forsyth County Schools,340424,Kimberley Park Elementary,PK-05,79.3,F,16.1,,,
Forsyth County Schools,340568,Winston-Salem Preparatory Acad,06-12,70.9,F,15.9,,,
Rowan-Salisbury Schools,800346,Koontz Elementary,0K-05,71.2,F,15.9,,,
Forsyth County Schools,340492,Philo-Hill Magnet Academy,06-08,72.4,F,15.2,,,
Lab Schools,79Z000,Moss Street Partnership School,0K-05,63.4,F,14.6,,,
Weldon City Schools,422315,Weldon STEM High School Career Academies,09-12,63.7,D,12.4,,,
Wayne County Public Schools,960335,Goldsboro High,09-12,90.6,D,12.1,,,
Pitt County Schools,740378,Vidant Health,PK-12,65.4,F,11.8,,,
Halifax County Schools,420358,Southeast Halifax Collegiate Prep Academ,09-12,64.2,D,11.2,,,
Avery County Schools,060701,Avery High Viking Academy,09-09,60.0,F,10.5,,,
Charter Schools,80B000,Essie Mae Kiser Foxx Charter,0K-04,60.0,F,9.5,,,
Charter Schools,08A000,Three Rivers Academy,0K-07,72.4,F,8.6,,,
Charter Schools,61U000,UpROAR Leadership Academy,05-09,28.6,F,7.2,,,
Northampton County Schools,660336,Northampton County High School,09-12,63.8,D,7.0,,,
Lab Schools,74Z000,ECU Community School,0K-05,52.6,F,6.8,,,
Alamance-Burlington Schools,010311,Career and Technical Education Center,09-12,*,I,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,0K-12,70.2,ALT,,,,
Anson County Schools,040305,Anson Academy,07-12,64.5,ALT,,,,
Avery County Schools,060334,Blue Ridge Academy,06-12,68.4,ALT,,,,
Avery County Schools,060700,Avery High STEM Academy,09-12,27.1,A,,,,
Beaufort County Schools,070302,Eastern Elementary,PK-01,70.1,C,,,,
Beaufort County Schools,070310,B C Ed Tech Center,06-12,79.5,ALT,,,,
Brunswick County Schools,100308,The COAST,06-12,83.0,ALT,,,,
Buncombe County Schools,110303,Community High School,09-12,83.1,ALT,,,,
Buncombe County Schools,110323,Middle College,11-13,44.7,A,,,,
Buncombe County Schools,110432,Weaverville Primary,0K-01,42.3,B,,,,
Asheville City Schools,111307,Asheville Primary,PK-03,53.0,I,,,,
Burke County Schools,120308,Hallyburton Academy,06-12,80.5,ALT,,,,
Burke County Schools,120310,Burke Middle College,11-12,28.1,A,,,,
Burke County Schools,120352,North Liberty,PK-12,51.9,ALT,,,,
Cabarrus County Schools,130317,Cabarrus Co Opportunity School,06-12,55.0,ALT,,,,
Cabarrus County Schools,130333,Performance Learning Center,06-12,39.6,ALT,,,,
Cabarrus County Schools,130336,W R Odell Primary,0K-02,11.6,A,,,,
Caldwell County Schools,140306,Gateway School,06-12,63.9,ALT,,,,
Caldwell County Schools,140307,Horizons Elementary,0K-05,60.5,ALT,,,,
Carteret County Public Schools,160309,Bridges School,06-12,87.5,ALT,,,,
Catawba County Schools,180323,Catawba Rosenwald Education Center,0K-12,61.5,ALT,,,,
Hickory City Schools,181342,Southwest Primary,PK-02,61.5,B,,,,
Newton Conover City Schools,182304,Conover Special Education,PK-12,63.5,ALT,,,,
Chatham County Schools,190310,SAGE Academy,09-12,78.3,ALT,,,,
Cherokee County Schools,200322,The Oaks Academy,06-12,49.3,ALT,,,,
Edenton-Chowan Schools,210316,White Oak Elementary,PK-02,68.5,C,,,,
Cleveland County Schools,230330,Turning Point Academy,06-12,71.2,ALT,,,,
Cleveland County Schools,230359,North Shelby,PK-12,41.4,ALT,,,,
Whiteville City Schools,241312,North Whiteville Academy,06-12,>95,ALT,,,,
Whiteville City Schools,241320,Whiteville Primary,PK-02,86.9,C,,,,
Cumberland County Schools,260302,Alma O Easom Elementary,0K-01,43.9,B,,,,
Cumberland County Schools,260363,Glendale Acres Elementary,PK-02,60.4,C,,,,
Cumberland County Schools,260374,Alger B. Wilkins High School,09-12,69.7,ALT,,,,
Cumberland County Schools,260412,Raleigh Road Elementary,0K-01,47.5,B,,,,
Cumberland County Schools,260413,Howard Learning Academy,05-08,78.5,ALT,,,,
Cumberland County Schools,260432,Stedman Primary,PK-01,49.7,B,,,,
Cumberland County Schools,260449,Ramsey Street High,09-12,70.4,ALT,,,,
Dare County Schools,280306,Dare Learning Academy,09-12,37.5,ALT,,,,
Davidson County Schools,290310,Stoner-Thomas School,0K-12,63.8,ALT,,,,
Davidson County Schools,290314,Davidson County High School,06-12,70.5,ALT,,,,
Lexington City Schools,291350,South Lexington Developmental Center,0K-12,38.9,ALT,,,,
Deaf and Blind Schools,298202,Eastern NC School for the Deaf,0K-12,54.2,N/A,,,,
Deaf and Blind Schools,298203,Gov. Morehead School f/t Blind,0K-12,<5,N/A,,,,
Deaf and Blind Schools,298204,NC School for the Deaf,PK-12,<5,N/A,,,,
Davie County Schools,300306,Central Davie Academy,06-12,78.3,ALT,,,,
Durham Public Schools,320322,Durham's Performance Learning Center,09-12,77.4,ALT,,,,
Durham Public Schools,320329,Holton Career and Resource Center,UN-GR,*,I,,,,
Durham Public Schools,320336,DPS Hospital School,PK-12,*,I,,,,
Durham Public Schools,320341,Lakeview School,06-12,87.6,ALT,,,,
Durham Public Schools,320353,Middle College HS @ DTCC,11-12,26.2,A,,,,
Nash-Rocky Mount Schools,640400,Winstead Avenue Elementary,0K-02,54.7,D,,,,
Forsyth County Schools,340332,Career Center,09-12,*,I,,,,
Forsyth County Schools,340336,Carter High School,09-12,36.6,ALT,,,,
Forsyth County Schools,340344,Childrens Center,PK-05,53.7,ALT,,,,
Forsyth County Schools,340385,Main Street Academy,06-12,77.4,ALT,,,,
Forsyth County Schools,340398,Homebound/ Hospital Education,PK-12,*,I,,,,
Forsyth County Schools,340427,Kingswood School,PK-12,76.2,ALT,,,,
Forsyth County Schools,340436,Lowrance Middle,06-08,67.9,ALT,,,,
Forsyth County Schools,340446,Middle College of Forsyth Cnty,11-12,14.6,A,,,,
Forsyth County Schools,340531,The Special Children's School,PK-05,67.2,ALT,,,,
Harnett County Schools,430304,Anderson Creek Primary,PK-02,57.1,D,,,,
Gaston County Schools,360372,Warlick Academy,06-12,55.2,ALT,,,,
Gaston County Schools,360394,Webb Street School,PK-12,58.8,ALT,,,,
Gaston County Schools,360430,J B Page Primary School,PK-01,24.1,B,,,,
Gaston County Schools,360499,Springfield Primary,PK-02,37.6,C,,,,
Granville County Schools,390314,Phoenix Academy,0K-12,78.0,ALT,,,,
Guilford County Schools,410379,Gateway Education Center,PK-12,64.4,ALT,,,,
Guilford County Schools,410390,GC Middle College High,11-12,38.7,A,,,,
Guilford County Schools,410457,Herbin Metz Education Center,PK-08,72.1,ALT,,,,
Guilford County Schools,410458,C Joyner Greene Education Center,08-12,32.6,ALT,,,,
Guilford County Schools,410464,Haynes Inman Education Center,PK-12,58.6,ALT,,,,
Gaston County Schools,360338,Bessemer City Primary,PK-02,61.0,D,,,,
Mount Airy City Schools,862308,Bruce H Tharrington Primary,PK-02,62.1,D,,,,
Guilford County Schools,410533,SCALE School,06-12,63.5,ALT,,,,
Guilford County Schools,410534,Pruette SCALE Academy,06-12,70.0,ALT,,,,
Harnett County Schools,430345,STAR Academy,06-12,74.9,ALT,,,,
Haywood County Schools,440326,Central Haywood High,09-12,53.1,ALT,,,,
Henderson County Schools,450343,Henderson County Career Academy,06-12,69.1,ALT,,,,
Hoke County Schools,470342,J W Turlington School,06-12,84.3,ALT,,,,
Iredell-Statesville Schools,490350,Pressly School,0K-12,63.5,ALT,,,,
Martin County Schools,580308,Williamston Primary,PK-02,64.5,D,,,,
Mooresville City Schools,491305,NF Woods Campus,07-12,*,I,,,,
Jackson County Schools,500324,Jackson Co Sch of Alternatives,0K-12,56.1,ALT,,,,
Lee County Schools,530306,Bragg Street Academy,06-12,92.0,ALT,,,,
Lee County Schools,530316,Floyd L Knight Children Center,PK-12,43.3,ALT,,,,
Lee County Schools,530358,Warren Williams Elementary Alternative,PK-05,91.3,ALT,,,,
Lenoir County Public Schools,540318,Lenoir County Learning Academy,PK-12,63.3,ALT,,,,
Lincoln County Schools,550308,Asbury Academy,06-12,60.7,ALT,,,,
Lincoln County Schools,550330,LCST,UN-GR,*,I,,,,
Lincoln County Schools,550348,Pumpkin Center Primary,PK-02,40.0,B,,,,
Macon County Schools,560350,Union Academy,07-12,54.6,ALT,,,,
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,11-13,30.0,A,,,,
Charlotte-Mecklenburg Schools,600335,Billingsville Elementary,PK-02,46.4,C,,,,
Harnett County Schools,430340,Gentry Primary,0K-02,67.3,D,,,,
Caldwell County Schools,140388,Valmead Elementary,PK-02,67.5,D,,,,
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,11-13,19.0,A,,,,
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,06-12,67.2,ALT,,,,
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,11-13,9.3,A,,,,
Lexington City Schools,291348,South Lexington School,PK-0K,68.3,D,,,,
Charlotte-Mecklenburg Schools,600454,Metro School,PK-13,37.0,ALT,,,,
Charlotte-Mecklenburg Schools,600461,Lincoln Heights Academy,0K-13,57.0,ALT,,,,
Charlotte-Mecklenburg Schools,600519,Dilworth Elementary School Sedgefield C,PK-02,25.9,B,,,,
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,11-13,14.1,I,,,,
Mitchell County Schools,610322,Greenlee Primary,0K-02,65.1,B,,,,
Montgomery County Schools,620310,Montgomery Learning Academy,06-12,70.5,ALT,,,,
Montgomery County Schools,620336,Troy Elementary,PK-02,67.2,C,,,,
Moore County Schools,630330,The Community Learning Center @ Pinckney,07-12,70.0,ALT,,,,
Moore County Schools,630352,Southern Pines Primary,PK-02,59.1,C,,,,
Nash-Rocky Mount Schools,640340,Tar River Academy,06-12,69.9,ALT,,,,
Nash-Rocky Mount Schools,640360,Red Oak Elementary,PK-02,49.8,C,,,,
New Hanover County Schools,650345,Lake Forest Academy,0K-08,90.0,ALT,,,,
New Hanover County Schools,650354,J. C. Roe Center,06-12,88.3,ALT,,,,
New Hanover County Schools,650355,Career Readiness Academy at Mosley PLC,PK-12,70.3,ALT,,,,
New Hanover County Schools,650420,College Road Early Childhood Center,PK-0K,42.7,B,,,,
Greene County Schools,400321,Snow Hill Primary,0K-01,71.8,D,,,,
Orange County Schools,680335,Partnership Academy,09-12,69.6,ALT,,,,
Chapel Hill-Carrboro Schools,681328,UNC Hospital School,PK-13,*,I,,,,
Chapel Hill-Carrboro Schools,681338,Phoenix Academy High,08-12,73.8,ALT,,,,
Pamlico County Schools,690324,Pamlico County Primary,PK-02,59.6,C,,,,
Pasquotank County Schools,700310,H L Trigg Community,06-12,59.0,ALT,,,,
Perquimans County Schools,720304,Perquimans Central,PK-02,62.4,C,,,,
Pitt County Schools,740360,H B Sugg Elementary,PK-02,59.0,C,,,,
Harnett County Schools,430368,North Harnett Primary,PK-02,73.8,D,,,,
Pitt County Schools,740406,Wintergreen Primary,PK-02,35.0,B,,,,
Richmond County Schools,770342,Ashley Chapel Educational Center,07-12,84.1,ALT,,,,
Robeson County Schools,780331,Robeson Co Career Ctr,UN-GR,*,I,,,,
Moore County Schools,630304,Aberdeen Primary,PK-02,74.9,D,,,,
Rockingham County Schools,790392,The SCORE Center,0K-12,80.0,ALT,,,,
Rowan-Salisbury Schools,800308,Henderson High,06-12,62.8,ALT,,,,
Rutherford County Schools,810386,Rutherford Opportunity Center,06-12,61.3,ALT,,,,
Clinton City Schools,821316,Langdon C Kerr Elementary,PK-01,72.5,C,,,,
Scotland County Schools,830316,Shaw Academy,06-12,91.0,ALT,,,,
Nash-Rocky Mount Schools,640396,Williford Elementary,PK-02,77.0,F,,,,
Stanly County Schools,840366,Stanly County Virtual Education,0K-12,<5,I,,,,
Stanly County Schools,840370,Stanly Academy Learning Center,09-12,50.0,ALT,,,,
Stokes County Schools,850324,Meadowbrook Academy,06-12,76.4,ALT,,,,
Transylvania County Schools,880320,Davidson River School,09-12,87.5,ALT,,,,
